Severity,Start_Lat,Start_Lng,Distance(mi),Side,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Civil_Twilight
2,39.063148,-84.032608,0.01,1,36.0,33.3,100.0,29.67,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,39.747753,-84.205582,0.01,1,35.1,31.0,96.0,29.64,9.0,4.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.627781,-84.188354,0.01,1,36.0,33.3,89.0,29.65,6.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,40.10059,-82.925194,0.01,1,37.9,35.5,97.0,29.63,7.0,3.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.758274,-84.230507,0.0,1,34.0,31.0,100.0,29.66,7.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.770382,-84.194901,0.01,1,34.0,31.0,100.0,29.66,7.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.10059,-82.925194,0.01,1,37.4,33.8,100.0,29.62,3.0,4.6,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.952812,-83.119293,0.01,1,35.6,30.7,93.0,29.64,5.0,5.8,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
3,39.932709,-82.83091,0.01,1,37.4,33.8,100.0,29.62,3.0,4.6,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.79076,-84.241547,0.01,0,36.0,31.1,89.0,29.65,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.972038,-82.913521,0.01,0,37.4,33.8,100.0,29.62,3.0,4.6,0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.752174,-84.239952,0.0,1,36.0,31.1,89.0,29.65,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.740669,-84.184135,0.01,0,37.4,32.1,93.0,29.63,10.0,6.9,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.790703,-84.244461,0.01,1,36.0,30.3,89.0,29.65,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.052509,-82.882332,0.0,1,33.8,29.6,100.0,29.62,2.0,4.6,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.773346,-84.224686,0.0,1,36.0,30.3,89.0,29.65,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.628288,-84.226151,0.01,1,35.1,28.6,89.0,29.65,6.0,8.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.023487,-82.994888,0.01,1,37.0,32.4,96.0,29.63,8.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.761379,-84.259216,0.01,1,37.9,30.9,76.0,29.62,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,40.158024,-82.641762,1.32,0,37.9,34.4,100.0,29.6,5.0,4.6,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.733219,-84.159653,0.0,1,36.0,29.0,86.0,29.63,7.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.775303,-84.200523,0.0,1,39.9,32.9,70.0,29.61,10.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
